Days,Effective Precipitation (mm/day),Evapotranspiration (mm/day),Actual Evapotranspiration (mm/day),Storage (mm),Runoff (mm/day),Runoff in Area (m^3/day)
421,0.000,0.000,0.000,270.736,0.271,406511.139
422,0.000,0.000,0.000,270.466,0.271,406104.627
423,0.000,0.000,0.000,270.195,0.270,405698.523
424,0.000,0.000,0.000,269.925,0.270,405292.824
425,0.000,0.000,0.000,269.655,0.270,404887.531
426,0.000,0.000,0.000,269.385,0.270,404482.644
427,0.000,0.000,0.000,269.116,0.269,404078.161
428,0.000,0.000,0.000,268.847,0.269,403674.083
429,0.000,0.000,0.000,268.578,0.269,403270.409
430,0.000,0.000,0.000,268.310,0.269,402867.139
431,0.000,0.000,0.000,268.041,0.268,402464.271
432,8.013,0.000,0.000,270.276,0.268,402061.807
433,0.000,0.000,0.000,269.458,0.818,1227558.177
434,0.000,0.000,0.000,268.859,0.598,897633.862
435,0.000,0.000,0.000,268.432,0.427,640352.758
436,0.000,0.000,0.000,268.164,0.293,439733.299
437,0.000,0.000,0.000,267.896,0.268,402245.805
438,0.000,0.000,0.000,267.628,0.268,401843.560
439,0.000,0.000,0.000,267.360,0.268,401441.716
440,0.000,0.000,0.000,267.093,0.267,401040.274
441,0.000,0.000,0.000,266.826,0.267,400639.234
442,0.000,0.000,0.000,266.559,0.267,400238.595
443,0.000,0.000,0.000,266.292,0.267,399838.356
444,0.000,0.000,0.000,266.026,0.266,399438.518
445,0.000,0.000,0.000,265.760,0.266,399039.079
446,0.000,0.000,0.000,265.494,0.266,398640.040
447,0.000,0.000,0.000,265.229,0.265,398241.400
448,0.000,0.000,0.000,264.964,0.265,397843.159
449,0.000,0.000,0.000,264.699,0.265,397445.316
450,0.000,0.000,0.000,264.434,0.265,397047.870
451,0.000,0.000,0.000,264.169,0.264,396650.822
452,0.000,0.000,0.000,263.905,0.264,396254.172
453,0.000,0.000,0.000,263.641,0.264,395857.917
454,0.000,0.000,0.000,263.378,0.264,395462.060
455,0.000,0.000,0.000,263.114,0.263,395066.597
456,0.000,0.000,0.000,262.851,0.263,394671.531
457,0.000,0.000,0.000,262.588,0.263,394276.859
458,0.000,0.000,0.000,262.326,0.263,393882.583
459,0.000,0.000,0.000,262.063,0.262,393488.700
460,0.000,0.000,0.000,261.801,0.262,393095.211
461,0.000,0.000,0.000,261.540,0.262,392702.116
462,0.000,0.000,0.000,261.278,0.262,392309.414
463,0.000,0.000,0.000,261.017,0.261,391917.104
464,0.000,0.000,0.000,260.756,0.261,391525.187
465,0.000,0.000,0.000,260.495,0.261,391133.662
466,0.000,0.000,0.000,260.235,0.260,390742.529
467,0.000,0.000,0.000,260.698,0.260,390351.786
468,0.000,0.000,0.000,260.279,0.419,628718.042
469,0.000,0.000,0.000,260.018,0.285,427976.627
470,0.000,0.000,0.000,259.758,0.260,390027.727
471,0.000,0.000,0.000,259.499,0.260,389637.699
472,0.000,0.000,0.000,259.239,0.259,389248.062
473,0.000,0.000,0.000,258.980,0.259,388858.814
474,0.000,0.000,0.000,258.721,0.259,388469.955
475,0.000,0.000,0.000,258.462,0.259,388081.485
476,0.000,0.000,0.000,258.204,0.258,387693.403
477,0.000,0.000,0.000,257.946,0.258,387305.710
478,0.000,0.000,0.000,257.688,0.258,386918.404
479,0.000,2.227,1.089,260.221,0.258,386531.486
480,1.746,4.598,2.301,265.406,0.871,1307240.800
481,1.663,2.320,1.206,267.629,1.970,2954964.325
482,1.866,2.816,1.502,270.059,2.417,3625300.757
483,4.450,2.590,1.419,272.993,2.909,4364104.076
484,5.216,3.116,1.762,276.363,3.513,5269333.277
485,0.000,0.000,0.000,272.777,4.212,6318464.182
486,0.000,0.000,0.000,269.396,3.381,5072032.313
487,0.000,0.000,0.000,267.208,2.596,3893304.557
488,0.000,4.434,2.606,271.307,2.072,3108635.746
489,0.000,3.736,2.244,273.950,2.932,4398584.774
490,0.000,3.997,2.446,276.438,3.472,5207945.783
491,4.482,0.647,0.403,277.012,3.978,5966526.496
492,4.895,0.963,0.612,278.142,4.062,6093346.407
493,0.000,3.186,2.064,279.267,4.269,6403523.471
494,3.467,2.153,1.414,280.814,4.475,6712413.864
495,0.000,4.126,2.759,282.710,4.774,7160441.805
496,0.000,6.564,4.450,287.221,5.149,7723939.040
497,0.000,6.049,4.172,290.328,6.100,9150438.751
498,0.000,6.969,4.881,294.066,6.742,10113603.358
